CODE,Snomed,Loinc,Name,UZ,RU,EN,
cancr0005.00013,,,,ATP8B1 (ATPase Fosfolipidni tashuvchi 8B1) Fosfolipidlarni tashishda ishtirok etadigan oqsil,"ATP8B1 (ATPase Phospholipid Transporting 8B1) Белок, участвующий в транспорте фосфолипидов",ATP8B1 (ATPase Phospholipid Transporting 8B1) Protein involved in phospholipid transport,
cancr0005.00014,,,,ATR (ATR Serin / Treonin Kinaz) kinaz DNKning shikastlanishiga javob berish va tiklashda muhim rol o'ynaydi.,"ATR (ATR Serine/Threonine Kinase) Киназа, играющая ключевую роль в ответе на повреждения ДНК и репарации",ATR (ATR Serine/Threonine Kinase) Kinase that plays a key role in DNA damage response and repair,
cancr0005.00015,,,,AXIN2 (Axis Inhibition Protein 2) Wnt signalizatsiya yo'lini tartibga solishda ishtirok etadigan oqsil. Mutatsiyalar kolorektal saraton xavfining oshishi bilan bog'liq.,"AXIN2 (Axis Inhibition Protein 2) Белок, участвующий в регуляции сигнального пути Wnt. Мутации связаны с повышенным риском развития колоректального рака.",AXIN2 (Axis Inhibition Protein 2) Protein involved in regulating the Wnt signaling pathway. Mutations are associated with an increased risk of colorectal cancer.,
cancr0005.00016,,,,BAP1 (BRCA1 Associated Protein 1) Deubiquitinase hujayra siklini tartibga solish va DNKni tiklashda ishtirok etadi,"BAP1 (BRCA1 Associated Protein 1) Деубиквитиназа, участвующая в регуляции клеточного цикла и репарации ДНК",BAP1 (BRCA1 Associated Protein 1) Deubiquitinase involved in cell cycle regulation and DNA repair,
cancr0005.00017,,,,BARD1 (BRCA1 Associated RING Domain 1) DNKni tiklashda ishtirok etadigan BRCA1 bilan o'zaro ta'sir qiluvchi protein,"BARD1 (BRCA1 Associated RING Domain 1) Белок, взаимодействующий с BRCA1 и участвующий в репарации ДНК",BARD1 (BRCA1 Associated RING Domain 1) Protein interacting with BRCA1 and involved in DNA repair,
cancr0005.00018,,,,"BLM (Bloom sindromi, RecQ Helicase-like) DNKni tiklashda ishtirok etadigan helikaz.","BLM (Bloom Syndrome, RecQ Helicase-Like) Геликаза, участвующая в репарации ДНК.","BLM (Bloom Syndrome, RecQ Helicase-Like) Helicase involved in DNA repair.",
cancr0005.00019,,,,BMPR1A (Suyak morfogenetik oqsil retseptorlari turi 1A) o'sish va rivojlanishni tartibga solishda ishtirok etadigan suyak morfogenetik oqsil retseptorlari,"BMPR1A (Bone Morphogenetic Protein Receptor Type 1A) Рецептор костного морфогенетического белка, участвующий в регуляции роста и развития",BMPR1A (Bone Morphogenetic Protein Receptor Type 1A) Bone morphogenetic protein receptor involved in the regulation of growth and development,
cancr0005.00020,,,,"BRAF (B-Raf Proto-Onkogen, Serin/Treonin Kinaz) MAPK/ERK signalizatsiya yo'lida ishtirok etadi.","BRAF (B-Raf Proto-Oncogene, Serine/Threonine Kinase) Киназа, участвующая в сигнальном пути MAPK/ERK","BRAF (B-Raf Proto-Oncogene, Serine/Threonine Kinase) Kinase involved in the MAPK/ERK signaling pathway",
cancr0005.00021,,,,BRCA1 (Ko'krak bezi saratoni 1) DNKni tiklashda ishtirok etadigan o'simtani bostiruvchi oqsil,"BRCA1(Breast Cancer 1) Белок-супрессор опухолей, участвующий в репарации ДНК",BRCA1(Breast Cancer 1) Tumor suppressor protein involved in DNA repair,
cancr0005.00022,,,,BRCA2 (ko'krak bezi saratoni 2) DNKni tiklashda ishtirok etadigan o'simtani bostiruvchi oqsil.,"BRCA2 (Breast Cancer 2) Белок-супрессор опухолей, участвующий в репарации ДНК.",BRCA2 (Breast Cancer 2) Tumor suppressor protein involved in DNA repair.,
cancr0005.00023,,,,BRIP1 (BRCA1 o'zaro ta'sir qiluvchi protein C-terminal helikaz 1) BRCA1 bilan o'zaro ta'sir qiluvchi va DNKni tiklashda ishtirok etadigan helikaz,"BRIP1 (BRCA1 Interacting Protein C-Terminal Helicase 1) Геликаза, взаимодействующая с BRCA1 и участвующая в репарации ДНК",BRIP1 (BRCA1 Interacting Protein C-Terminal Helicase 1) Helicase interacting with BRCA1 and involved in DNA repair,
cancr0005.00024,,,,BTNL2 (Butirofilinga o'xshash 2) protein immun javobini tartibga solishda ishtirok etadi,"BTNL2 (Butyrophilin-Like 2) Белок, участвующий в регуляции иммунного ответа",BTNL2 (Butyrophilin-Like 2) Protein involved in the regulation of the immune response,
cancr0005.00025,,,,BUB1B (BUB1 Mitotik nazorat punkti Serin/Treonin Kinaz B) Mitotik nazorat punktida rol o'ynaydigan kinaz,"BUB1B (BUB1 Mitotic Checkpoint Serine/Threonine Kinase B) Киназа, играющая роль в митотическом контрольном пункте",BUB1B (BUB1 Mitotic Checkpoint Serine/Threonine Kinase B) Kinase playing a role in the mitotic checkpoint,
cancr0005.00026,,,,CBL (Casitas B-Lineage Lymphoma) Ubiquitin ligaza oqsil degradatsiyasini tartibga solishda ishtirok etadi.,"CBL (Casitas B-Lineage Lymphoma) Убиквитинлигаза, участвующая в регуляции деградации белков.",CBL (Casitas B-Lineage Lymphoma) Ubiquitin ligase involved in the regulation of protein degradation.,
cancr0005.00027,,,,CDC73 (Hujayra bo'linish sikli 73) Hujayra siklini tartibga solish va o'smalarni bostirishda ishtirok etadigan oqsil.,"CDC73 (Cell Division Cycle 73) Белок, участвующий в регуляции клеточного цикла и супрессии опухолей.",CDC73 (Cell Division Cycle 73) Protein involved in cell cycle regulation and tumor suppression.,
cancr0005.00028,,,,CDH1 (Cadherin 1) Hujayra yopishqoqligini saqlashda muhim rol o'ynaydigan hujayra yopishish oqsili,"CDH1 (Cadherin 1) Белок адгезии клеток, играющий ключевую роль в поддержании клеточной адгезии",CDH1 (Cadherin 1) Cell adhesion protein that plays a key role in maintaining cell adhesion,
cancr0005.00029,,,,CDK4 (Cyclin Dependent Kinase 4) Hujayra siklini tartibga soluvchi kinaz.,"CDK4 (Cyclin Dependent Kinase 4) Киназа, регулирующая клеточный цикл.",CDK4 (Cyclin Dependent Kinase 4) Kinase that regulates the cell cycle.,
cancr0005.00030,,,,CDKN1B (Cyclin Dependent Kinase Inhibitor 1B) Hujayra siklini tartibga soluvchi kinazalarning inhibitori,"CDKN1B (Cyclin Dependent Kinase Inhibitor 1B) Ингибитор киназ, регулирующих клеточный цикл",CDKN1B (Cyclin Dependent Kinase Inhibitor 1B) Inhibitor of kinases that regulate the cell cycle,
cancr0005.00031,,,,CDKN1C (Cyclin Dependent Kinase Inhibitor 1C) Hujayra siklini tartibga soluvchi kinazalarning inhibitori,"CDKN1C (Cyclin Dependent Kinase Inhibitor 1C) Ингибитор киназ, регулирующих клеточный цикл",CDKN1C (Cyclin Dependent Kinase Inhibitor 1C) Inhibitor of kinases that regulate the cell cycle,
cancr0005.00032,,,,CDKN2A (Cyclin Dependent Kinase Inhibitor 2A) Hujayra siklini tartibga soluvchi kinazalarning inhibitori,"CDKN2A (Cyclin Dependent Kinase Inhibitor 2A) Ингибитор киназ, регулирующих клеточный цикл",CDKN2A (Cyclin Dependent Kinase Inhibitor 2A) Inhibitor of kinases that regulate the cell cycle,
cancr0005.00033,,,,CEBPA (CCAAT Enhancer Binding Protein Alpha) Hujayra differentsiatsiyasi va proliferatsiyasini tartibga soluvchi transkripsiya omili.,"CEBPA (CCAAT Enhancer Binding Protein Alpha) Транскрипционный фактор, регулирующий дифференцировку и пролиферацию клеток.",CEBPA (CCAAT Enhancer Binding Protein Alpha) Transcription factor that regulates cell differentiation and proliferation.,
cancr0005.00034,,,,CEP57 (Centrosomal Protein 57) Mikrotubulalar tashkil etilishida ishtirok etadigan oqsil,"CEP57 (Centrosomal Protein 57) Белок, участвующий в организации микротрубочек",CEP57 (Centrosomal Protein 57) A protein involved in the organization of microtubules,
cancr0005.00035,,,,CFTR (kistik fibroz transmembran o'tkazuvchanlik regulyatori) xlorid ionlarining tashishini tartibga soluvchi ion kanali,"CFTR (Cystic Fibrosis Transmembrane Conductance Regulator) Ионный канал, регулирующий транспорт ионов хлора",CFTR (Cystic Fibrosis Transmembrane Conductance Regulator) An ion channel that regulates the transport of chloride ions,
cancr0005.00036,,,,CHEK2 (Checkpoint Kinase 2) Kinaz hujayra siklini tartibga solish va DNKning shikastlanishiga javob berishda ishtirok etadi,"CHEK2 (Checkpoint Kinase 2) Киназа, участвующая в регуляции клеточного цикла и ответе на повреждения ДНК",CHEK2 (Checkpoint Kinase 2) A kinase involved in the regulation of the cell cycle and the response to DNA damage,
cancr0005.00037,,,,CTC1 (CST Telomer replikatsiya kompleksi komponenti 1) Telomerni saqlashda ishtirok etadigan oqsil,"CTC1 (CST Telomere Replication Complex Component 1) Белок, участвующий в поддержании теломер",CTC1 (CST Telomere Replication Complex Component 1) A protein involved in the maintenance of telomeres,
cancr0005.00038,,,,CTHRC1 (Kollagen Triple Helix Repeat Containing 1) hujayradan tashqari matritsani qayta qurishda ishtirok etadigan oqsil,"CTHRC1 (Collagen Triple Helix Repeat Containing 1) Белок, участвующий в ремоделировании внеклеточного матрикса",CTHRC1 (Collagen Triple Helix Repeat Containing 1) A protein involved in the remodeling of the extracellular matrix,
cancr0005.00039,,,,CTNNA1 (Catenin Alpha 1) Protein hujayra yopishishi va signalizatsiya yo'llarida ishtirok etadi,"CTNNA1 (Catenin Alpha 1) Белок, участвующий в клеточной адгезии и сигнальных путях",CTNNA1 (Catenin Alpha 1) A protein involved in cell adhesion and signaling pathways,
cancr0005.00040,,,,CTRC (Chymotrypsin C) Ovqat hazm qilishda ishtirok etadigan ferment,"CTRC (Chymotrypsin C) Фермент, участвующий в пищеварении",CTRC (Chymotrypsin C) An enzyme involved in digestion,
cancr0005.00041,,,,CYLD (silindromatoz) hujayra siklini va apoptozni tartibga solishda ishtirok etadigan o'simta bostiruvchi oqsil,"CYLD (Cylindromatosis) Белок-супрессор опухолей, участвующий в регуляции клеточного цикла и апоптоза",CYLD (Cylindromatosis) A tumor suppressor protein involved in the regulation of the cell cycle and apoptosis,
cancr0005.00042,,,,CYP21A2 (Sitoxrom P450 oilasi 21 kichik oila A a'zosi 2) Ukol gormonlar sintezida ishtirok etadigan ferment,"CYP21A2 (Cytochrome P450 Family 21 Subfamily A Member 2) Фермент, участвующий в синтезе стероидных гормонов",CYP21A2 (Cytochrome P450 Family 21 Subfamily A Member 2) An enzyme involved in the synthesis of steroid hormones,
cancr0005.00043,,,,DCLRE1C (DNK Cross-Link Repair 1C) DNKni tiklashda ishtirok etadigan oqsil,"DCLRE1C (DNA Cross-Link Repair 1C) Белок, участвующий в репарации ДНК",DCLRE1C (DNA Cross-Link Repair 1C) A protein involved in DNA repair,
cancr0005.00044,,,,DDB2 (Zararga xos DNKni bog'lovchi protein 2) DNKni tiklashda ishtirok etadigan oqsil,"DDB2 (Damage Specific DNA Binding Protein 2) Белок, участвующий в репарации ДНК",DDB2 (Damage Specific DNA Binding Protein 2) A protein involved in DNA repair,
cancr0005.00045,,,,DDX41 (DEAD-Box Helicase 41) Helikaz RNK metabolizmida ishtirok etadi,"DDX41 (DEAD-Box Helicase 41) Геликаза, участвующая в метаболизме РНК",DDX41 (DEAD-Box Helicase 41) A helicase involved in RNA metabolism,
cancr0005.00046,,,,"DICER1 (Dicer 1, Ribonuklease III) mikroRNK biogenezida ishtirok etadigan ferment","DICER1 (Dicer 1, Ribonuclease III) Фермент, участвующий в биогенезе микроРНК","DICER1 (Dicer 1, Ribonuclease III) An enzyme involved in the biogenesis of microRNA",
cancr0005.00047,,,,DIS3L2 (DIS3 kabi 3'-5' ekzoribonukleaza 2) RNK degradatsiyasida ishtirok etadigan ekzoribonukleaza,"DIS3L2 (DIS3 Like 3'-5' Exoribonuclease 2) Экзорибонуклеаза, участвующая в деградации РНК",DIS3L2 (DIS3 Like 3'-5' Exoribonuclease 2) An exoribonuclease involved in RNA degradation,
